# 2003 081 13:15:05 1.0025 03081131505 11320000 010000 60C3104 01121 120 908 4151 324 002 1229
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:06    1.2025    85.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025    90.000   -90.000    12.000     4.688     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025    95.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   100.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   105.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   110.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   115.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   120.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025   125.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:06    1.2025   130.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
